Zip,Zip Code Type,City,state,county,area_codes,Latitude,Longitude,Population
604,PO BOX,Aguadilla,PR,,,18.43,-67.15,0
605,PO BOX,Aguadilla,PR,,,18.43,-67.15,0
611,PO BOX,Angeles,PR,,,18.28,-66.79,0
613,PO BOX,Arecibo,PR,,,18.45,-66.73,0
614,PO BOX,Arecibo,PR,,,18.45,-66.73,0
631,PO BOX,Castaner,PR,,,18.19,-66.82,0
636,PO BOX,Rosario,PR,,,18.15,-67.06,0
681,PO BOX,Mayaguez,PR,,,18.2,-67.14,0
694,PO BOX,Vega Baja,PR,,,18.44,-66.39,0
721,PO BOX,Palmer,PR,,,18.37,-65.77,0
726,PO BOX,Caguas,PR,,,18.23,-66.03,0
732,PO BOX,Ponce,PR,,,17.98,-66.6,0
733,PO BOX,Ponce,PR,,,17.98,-66.6,0
734,PO BOX,Ponce,PR,,,17.98,-66.6,0
737,PO BOX,Cayey,PR,,,18.11,-66.16,0
742,PO BOX,Roosevelt Roads,PR,,,18.27,-65.65,0
744,PO BOX,Rio Blanco,PR,,,18.22,-65.79,0
775,PO BOX,Culebra,PR,,,18.31,-65.3,0
785,PO BOX,Guayama,PR,,,17.97,-66.11,0
786,PO BOX,La Plata,PR,Aibonito,,18.16,-66.23,0
792,PO BOX,Humacao,PR,,,18.15,-65.81,0
801,PO BOX,St Thomas,VI,,,18.35,-64.93,0
803,PO BOX,St Thomas,VI,,,18.35,-64.93,0
804,PO BOX,St Thomas,VI,,,18.35,-64.93,0
805,PO BOX,St Thomas,VI,,,18.34,-64.93,0
821,PO BOX,Christiansted,VI,,,17.74,-64.7,0
822,PO BOX,Christiansted,VI,,,17.74,-64.7,0
823,PO BOX,Christiansted,VI,,,17.74,-64.7,0
824,PO BOX,Christiansted,VI,,,17.74,-64.7,0
831,PO BOX,St John,VI,,,18.33,-64.79,0
841,PO BOX,Frederiksted,VI,,,17.71,-64.88,0
851,PO BOX,Kingshill,VI,,,17.73,-64.8,0
902,PO BOX,San Juan,PR,,,18.4,-66.06,0
906,PO BOX,San Juan,PR,,,18.4,-66.06,0
908,PO BOX,San Juan,PR,,,18.4,-66.06,0
910,PO BOX,San Juan,PR,,,18.4,-66.06,0
914,PO BOX,San Juan,PR,,,18.4,-66.06,0
916,PO BOX,San Juan,PR,,,18.4,-66.06,0
919,PO BOX,San Juan,PR,,,18.4,-66.06,0
922,PO BOX,San Juan,PR,,,18.4,-66.06,0
928,PO BOX,San Juan,PR,,,18.4,-66.06,0
929,PO BOX,San Juan,PR,San Juan,,18.4,-66.06,0
930,PO BOX,San Juan,PR,,,18.4,-66.06,0
931,PO BOX,San Juan,PR,San Juan,,18.4,-66.06,0
933,PO BOX,San Juan,PR,San Juan,,18.4,-66.06,0
